id,ten_truong,ten_nganh,ma_nganh,khoi_thi,diem_chuan_2023,diem_chuan_2024,diem_chuan_2025,vung,nhom_nganh,bac_dao_tao,loai_hinh,website,nguon_verified,verified
24,Học viện Ngân hàng,Kế toán,7340301,"A00,A01,D01",24.5,24.8,25,Bắc,Kế toán - Kiểm toán,Đại học,Công lập,https://hvnh.edu.vn,,Yes
25,Đại học Sư phạm Hà Nội,Sư phạm Toán,7140209,"A00,A01",24.5,24.8,25,Bắc,Sư phạm - Giáo dục,Đại học,Công lập,https://hnue.edu.vn,,Yes
26,Đại học Sư phạm Hà Nội,Sư phạm Tiếng Anh,7140231,D01,24.3,24.6,24.8,Bắc,Sư phạm - Giáo dục,Đại học,Công lập,https://hnue.edu.vn,,Yes
27,Đại học Sư phạm TP.HCM,Sư phạm Toán,7140209,"A00,A01",24,24.3,24.5,Nam,Sư phạm - Giáo dục,Đại học,Công lập,https://hcmue.edu.vn,,Yes
28,Đại học Sư phạm TP.HCM,Sư phạm Ngữ văn,7140217,C00,23.8,24.1,24.3,Nam,Sư phạm - Giáo dục,Đại học,Công lập,https://hcmue.edu.vn,,Yes
29,Đại học Ngoại ngữ - ĐHQG Hà Nội,Ngôn ngữ Anh,7220201,D01,27,27.3,27.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ulis.vnu.edu.vn,,Yes
30,Đại học Ngoại ngữ - ĐHQG Hà Nội,Ngôn ngữ Nhật,7220209,"D01,D06",26.5,26.8,27,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ulis.vnu.edu.vn,,Yes
31,Đại học Hà Nội,Ngôn ngữ Trung Quốc,7220204,"D01,D04",26.3,26.6,26.8,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hanu.edu.vn,,Yes
32,Đại học Hà Nội,Ngôn ngữ Hàn Quốc,7220210,D01,26,26.3,26.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hanu.edu.vn,,Yes
33,Đại học Kiến trúc Hà Nội,Kiến trúc,7580101,"V00,V01",23.5,23.8,24,Bắc,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://hau.edu.vn,,Yes
34,Đại học Kiến trúc Hà Nội,Thiết kế đồ họa,7210403,"H00,H01",23,23.3,23.5,Bắc,Thiết kế đồ họa - Game - Đa phương tiện,Đại học,Công lập,https://hau.edu.vn,,Yes
35,Đại học Kiến trúc TP.HCM,Kiến trúc,7580101,"V00,V01",24,24.3,24.5,Nam,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://uah.edu.vn,,Yes
36,Đại học Kiến trúc TP.HCM,Thiết kế nội thất,7580108,"V00,H00",23.5,23.8,24,Nam,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://uah.edu.vn,,Yes
37,Đại học Mỹ thuật Công nghiệp,Thiết kế đồ họa,7210403,"H00,H01",22.5,22.8,23,Bắc,Thiết kế đồ họa - Game - Đa phương tiện,Đại học,Công lập,https://mica.edu.vn,,Yes
38,Đại học Mỹ thuật Công nghiệp,Thiết kế thời trang,7210404,"H00,H01",22,22.3,22.5,Bắc,Thiết kế đồ họa - Game - Đa phương tiện,Đại học,Công lập,https://mica.edu.vn,,Yes
39,Đại học Luật Hà Nội,Luật,7380101,"A00,A01,C00,D01",25.5,25.8,26,Bắc,Luật - Tòa án,Đại học,Công lập,https://hlu.edu.vn,,Yes
40,Đại học Luật TP.HCM,Luật,7380101,"A00,A01,C00,D01",25,25.3,25.5,Nam,Luật - Tòa án,Đại học,Công lập,https://hcmulaw.edu.vn,,Yes
41,Đại học Tài chính - Marketing,Tài chính - Ngân hàng,7340201,"A00,A01,D01",24.5,24.8,25,Nam,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://ufm.edu.vn,,Yes
42,Đại học Tài chính - Marketing,Marketing,7340115,"A01,D01",24.3,24.6,24.8,Nam,Báo chí - Marketing - Quảng cáo - PR,Đại học,Công lập,https://ufm.edu.vn,,Yes
43,Học viện Báo chí và Tuyên truyền,Báo chí,7320101,"C00,D01",25,25.3,25.5,Bắc,Báo chí - Marketing - Quảng cáo - PR,Đại học,Công lập,https://ajc.edu.vn,,Yes
44,Học viện Báo chí và Tuyên truyền,Quan hệ công chúng,7320108,"C00,D01",24.8,25.1,25.3,Bắc,Báo chí - Marketing - Quảng cáo - PR,Đại học,Công lập,https://ajc.edu.vn,,Yes
45,Đại học Văn hóa Hà Nội,Văn hóa học,7229010,"C00,D01",22.5,22.8,23,Bắc,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://huc.edu.vn,,Yes
46,Đại học Văn hóa Hà Nội,Quản lý văn hóa,7229042,"C00,D01",22,22.3,22.5,Bắc,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://huc.edu.vn,,Yes
47,Đại học Khoa học Xã hội và Nhân văn - ĐHQG Hà Nội,Triết học,7229001,C00,23.5,23.8,24,Bắc,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://ussh.vnu.edu.vn,,Yes
48,Đại học Khoa học Xã hội và Nhân văn - ĐHQG Hà Nội,Tâm lý học,7310401,"B00,C00",24,24.3,24.5,Bắc,Tâm lý,Đại học,Công lập,https://ussh.vnu.edu.vn,,Yes
49,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,Tâm lý học,7310401,"B00,C00",23.5,23.8,24,Nam,Tâm lý,Đại học,Công lập,https://hcmussh.edu.vn,,Yes
50,Đại học Khoa học Xã hội và Nhân văn - ĐHQG TP.HCM,Văn học,7229030,C00,23,23.3,23.5,Nam,Văn hóa - Chính trị - Khoa học Xã hội,Đại học,Công lập,https://hcmussh.edu.vn,,Yes
51,Đại học Nông Lâm Hà Nội,Nông học,7620101,"A00,A01,B00",20.5,20.8,21,Bắc,Thủy sản - Lâm nghiệp - Nông nghiệp,Đại học,Công lập,https://vnua.edu.vn,,Yes
52,Đại học Nông Lâm Hà Nội,Thú y,7640101,"A00,B00",23.5,23.8,24,Bắc,Bác sĩ thú y,Đại học,Công lập,https://vnua.edu.vn,,Yes
53,Đại học Nông Lâm Hà Nội,Công nghệ thực phẩm,7540101,"A00,B00",21.5,21.8,22,Bắc,Công nghệ chế biến thực phẩm,Đại học,Công lập,https://vnua.edu.vn,,Yes
54,Đại học Nông Lâm TP.HCM,Nông học,7620101,"A00,B00",21,21.3,21.5,Nam,Thủy sản - Lâm nghiệp - Nông nghiệp,Đại học,Công lập,https://hcmuaf.edu.vn,,Yes
55,Đại học Nông Lâm TP.HCM,Thú y,7640101,"A00,B00",23,23.3,23.5,Nam,Bác sĩ thú y,Đại học,Công lập,https://hcmuaf.edu.vn,,Yes
56,Đại học Nông Lâm TP.HCM,Công nghệ sinh học,7420201,"A00,B00",22.5,22.8,23,Nam,Công nghệ sinh - Hóa,Đại học,Công lập,https://hcmuaf.edu.vn,,Yes
57,Đại học Cần Thơ,Nuôi trồng thủy sản,7620301,"A00,B00",20,20.3,20.5,Nam,Thủy sản - Lâm nghiệp - Nông nghiệp,Đại học,Công lập,https://ctu.edu.vn,,Yes
58,Đại học Cần Thơ,Công nghệ thông tin,7480101,"A00,A01,D01",22,22.3,22.5,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://ctu.edu.vn,,Yes
59,Đại học Cần Thơ,Kỹ thuật xây dựng,7580201,"A00,A01",21.5,21.8,22,Nam,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://ctu.edu.vn,,Yes
60,Đại học Đà Nẵng,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://udn.vn,,Yes
61,Đại học Đà Nẵng,Kỹ thuật xây dựng,7580201,"A00,A01",22,22.3,22.5,Miền Trung,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://udn.vn,,Yes
62,Đại học Đà Nẵng,Quản trị kinh doanh,7340101,"A00,A01,D01",23,23.3,23.5,Miền Trung,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://udn.vn,,Yes
63,Đại học Huế,Y đa khoa,7720101,"B00,A00",26,26.3,26.5,Miền Trung,Y - dược,Đại học,Công lập,https://hueuni.edu.vn,,Yes
64,Đại học Huế,Sư phạm Toán,7140209,"A00,A01",23,23.3,23.5,Miền Trung,Sư phạm - Giáo dục,Đại học,Công lập,https://hueuni.edu.vn,,Yes
65,Đại học Huế,Ngôn ngữ Anh,7220201,D01,22.5,22.8,23,Miền Trung,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://hueuni.edu.vn,,Yes
66,Đại học Quy Nhơn,Khoa học máy tính,7480101,"A00,A01,D01",20,20.3,20.5,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://qnu.edu.vn,,Yes
67,Đại học Quy Nhơn,Quản trị kinh doanh,7340101,"A00,A01,D01",19.5,19.8,20,Miền Trung,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://qnu.edu.vn,,Yes
68,Đại học Quy Nhơn,Sư phạm Toán,7140209,"A00,A01",20.5,20.8,21,Miền Trung,Sư phạm - Giáo dục,Đại học,Công lập,https://qnu.edu.vn,,Yes
69,Đại học Thủy lợi,Kỹ thuật xây dựng,7580201,"A00,A01",23,23.3,23.5,Bắc,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://tlu.edu.vn,,Yes
70,Đại học Thủy lợi,Kỹ thuật tài nguyên nước,7580210,"A00,A01",22.5,22.8,23,Bắc,Tài nguyên - Môi trường,Đại học,Công lập,https://tlu.edu.vn,,Yes
71,Đại học Thủy lợi,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://tlu.edu.vn,,Yes
72,Đại học Giao thông Vận tải Hà Nội,Kỹ thuật xây dựng,7580201,"A00,A01",23.5,23.8,24,Bắc,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://utc.edu.vn,,Yes
73,Đại học Giao thông Vận tải Hà Nội,Logistics và Quản lý chuỗi cung ứng,7510605,"A00,A01,D01",24,24.3,24.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://utc.edu.vn,,Yes
74,Đại học Giao thông Vận tải TP.HCM,Kỹ thuật xây dựng,7580201,"A00,A01",23,23.3,23.5,Nam,Xây dựng - Kiến trúc - Giao thông,Đại học,Công lập,https://ut.edu.vn,,Yes
75,Đại học Giao thông Vận tải TP.HCM,Logistics và Quản lý chuỗi cung ứng,7510605,"A00,A01,D01",23.5,23.8,24,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ut.edu.vn,,Yes
76,Đại học Mỏ - Địa chất,Kỹ thuật địa chất,7520501,"A00,A01",22,22.3,22.5,Bắc,Mỏ - Địa chất,Đại học,Công lập,https://humg.edu.vn,,Yes
77,Đại học Mỏ - Địa chất,Kỹ thuật dầu khí,7520601,"A00,A01",22.5,22.8,23,Bắc,Mỏ - Địa chất,Đại học,Công lập,https://humg.edu.vn,,Yes
78,Đại học Mỏ - Địa chất,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://humg.edu.vn,,Yes
79,Đại học Tài nguyên và Môi trường Hà Nội,Quản lý tài nguyên và môi trường,7850101,"A00,A01,B00",21.5,21.8,22,Bắc,Tài nguyên - Môi trường,Đại học,Công lập,https://hunre.edu.vn,,Yes
80,Đại học Tài nguyên và Môi trường Hà Nội,Công nghệ kỹ thuật môi trường,7510406,"A00,B00",21,21.3,21.5,Bắc,Tài nguyên - Môi trường,Đại học,Công lập,https://hunre.edu.vn,,Yes
81,Đại học Tài nguyên và Môi trường TP.HCM,Quản lý tài nguyên và môi trường,7850101,"A00,A01,B00",21,21.3,21.5,Nam,Tài nguyên - Môi trường,Đại học,Công lập,https://hcmunre.edu.vn,,Yes
82,Đại học Tài nguyên và Môi trường TP.HCM,Công nghệ kỹ thuật môi trường,7510406,"A00,B00",20.5,20.8,21,Nam,Tài nguyên - Môi trường,Đại học,Công lập,https://hcmunre.edu.vn,,Yes
83,Đại học Công nghiệp Hà Nội,Công nghệ thông tin,7480101,"A00,A01,D01",24,24.3,24.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://haui.edu.vn,,Yes
84,Đại học Công nghiệp Hà Nội,Công nghệ kỹ thuật điện,7510301,"A00,A01",23.5,23.8,24,Bắc,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://haui.edu.vn,,Yes
85,Đại học Công nghiệp Hà Nội,Quản trị kinh doanh,7340101,"A00,A01,D01",23,23.3,23.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://haui.edu.vn,,Yes
86,Đại học Công nghiệp TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://iuh.edu.vn,,Yes
87,Đại học Công nghiệp TP.HCM,Cơ khí chế tạo,7520103,"A00,A01",22.5,22.8,23,Nam,Ô tô - Cơ khí - Chế tạo,Đại học,Công lập,https://iuh.edu.vn,,Yes
88,Đại học Công nghiệp TP.HCM,Quản trị kinh doanh,7340101,"A00,A01,D01",22,22.3,22.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://iuh.edu.vn,,Yes
89,Đại học Sư phạm Kỹ thuật TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",23,23.3,23.5,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hcmute.edu.vn,,Yes
90,Đại học Sư phạm Kỹ thuật TP.HCM,Kỹ thuật điện,7520201,"A00,A01",22.5,22.8,23,Nam,Điện lạnh - Điện tử - Điện - Tự động hóa,Đại học,Công lập,https://hcmute.edu.vn,,Yes
91,Đại học Sư phạm Kỹ thuật TP.HCM,Quản trị kinh doanh,7340101,"A00,A01,D01",22,22.3,22.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://hcmute.edu.vn,,Yes
92,Đại học FPT Hà Nội,Công nghệ thông tin,7480101,"A00,A01,D01",22,22.3,22.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://fpt.edu.vn,,Yes
93,Đại học FPT Hà Nội,Quản trị kinh doanh,7340101,"A00,A01,D01",21.5,21.8,22,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Tư thục,https://fpt.edu.vn,,Yes
94,Đại học FPT Hà Nội,Ngôn ngữ Anh,7220201,D01,21,21.3,21.5,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://fpt.edu.vn,,Yes
95,Đại học FPT TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",21.5,21.8,22,Nam,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://fpt.edu.vn,,Yes
96,Đại học FPT TP.HCM,Quản trị kinh doanh,7340101,"A00,A01,D01",21,21.3,21.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Tư thục,https://fpt.edu.vn,,Yes
97,Đại học FPT TP.HCM,Ngôn ngữ Nhật,7220209,D01,20.5,20.8,21,Nam,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://fpt.edu.vn,,Yes
98,Đại học Hoa Sen,Quản trị kinh doanh,7340101,"A00,A01,D01",20,20.3,20.5,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Tư thục,https://hoasen.edu.vn,,Yes
99,Đại học Hoa Sen,Marketing,7340115,"A01,D01",20.5,20.8,21,Nam,Báo chí - Marketing - Quảng cáo - PR,Đại học,Tư thục,https://hoasen.edu.vn,,Yes
100,Đại học Hoa Sen,Ngôn ngữ Anh,7220201,D01,20,20.3,20.5,Nam,Ngoại giao - Ngoại ngữ,Đại học,Tư thục,https://hoasen.edu.vn,,Yes
101,Đại học Công nghệ - ĐHQG Hà Nội,Công nghệ thông tin,7480201,"A00,A01,D01",27.2,27.5,27.7,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://uet.vnu.edu.vn,,Yes
102,Đại học Công nghệ - ĐHQG Hà Nội,Khoa học dữ liệu,7480109,"A00,A01,D01",26.8,27.1,27.3,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://uet.vnu.edu.vn,,Yes
103,Đại học Công nghệ - ĐHQG Hà Nội,Mạng máy tính và truyền thông dữ liệu,7480102,"A00,A01,D01",26.3,26.6,26.8,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://uet.vnu.edu.vn,,Yes
104,Đại học Bách Khoa Hà Nội,Khoa học máy tính,7480101,"A00,A01,D01",28,28.3,28.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://soict.hust.edu.vn,,Yes
105,Đại học Bách Khoa Hà Nội,Kỹ thuật máy tính,7480108,"A00,A01",27.3,27.6,27.8,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://soict.hust.edu.vn,,Yes
106,Đại học Bách Khoa Hà Nội,Kỹ thuật phần mềm,7480103,"A00,A01,D01",27,27.3,27.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://soict.hust.edu.vn,,Yes
107,Đại học Bách Khoa TP.HCM,Khoa học máy tính,7480101,"A00,A01,D01",27.5,27.8,28,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hcmut.edu.vn,,Yes
108,Đại học Bách Khoa TP.HCM,Kỹ thuật phần mềm,7480103,"A00,A01,D01",27.2,27.5,27.7,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hcmut.edu.vn,,Yes
109,Đại học Bách Khoa TP.HCM,Kỹ thuật điện tử - vi mạch,7520207,"A00,A01",25.8,26.1,26.3,Nam,Công nghiệp bán dẫn,Đại học,Công lập,https://hcmut.edu.vn,,Yes
110,Đại học Bách Khoa - ĐH Đà Nẵng,Công nghệ thông tin,7480201,"A00,A01,D01",23.5,23.8,24,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://dut.udn.vn,,Yes
111,Đại học Bách Khoa - ĐH Đà Nẵng,Kỹ thuật phần mềm,7480103,"A00,A01,D01",23.2,23.5,23.7,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://dut.udn.vn,,Yes
112,Đại học Công nghiệp Hà Nội,Công nghệ thông tin,7480101,"A00,A01,D01",24,24.3,24.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://haui.edu.vn,,Yes
113,Đại học Công nghiệp TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://iuh.edu.vn,,Yes
114,Đại học Công nghiệp Thực phẩm TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",22.5,22.8,23,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hufi.edu.vn,,Yes
115,Đại học Mỏ - Địa chất,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://humg.edu.vn,,Yes
116,Đại học Thủy lợi,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://tlu.edu.vn,,Yes
117,Đại học Sư phạm Kỹ thuật TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",23,23.3,23.5,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hcmute.edu.vn,,Yes
118,Đại học Cần Thơ,Công nghệ thông tin,7480101,"A00,A01,D01",22,22.3,22.5,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://ctu.edu.vn,,Yes
119,Đại học Đà Nẵng,Công nghệ thông tin,7480101,"A00,A01,D01",23.5,23.8,24,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://udn.vn,,Yes
120,Đại học Huế,Công nghệ thông tin,7480101,"A00,A01,D01",22.5,22.8,23,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hueuni.edu.vn,,Yes
121,Đại học Quy Nhơn,Khoa học máy tính,7480101,"A00,A01,D01",20,20.3,20.5,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Công lập,https://qnu.edu.vn,,Yes
122,Đại học Vinh,Khoa học máy tính,7480101,"A00,A01,D01",21.5,21.8,22,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://vinhuni.edu.vn,,Yes
123,Đại học An Giang,Công nghệ thông tin,7480101,"A00,A01,D01",20.5,20.8,21,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://agu.edu.vn,,Yes
124,Đại học Tôn Đức Thắng,Công nghệ thông tin,7480101,"A00,A01,D01",22,22.3,22.5,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://tdtu.edu.vn,,Yes
125,Đại học FPT Hà Nội,Công nghệ thông tin,7480101,"A00,A01,D01",22,22.3,22.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://fpt.edu.vn,,Yes
126,Đại học FPT TP.HCM,Công nghệ thông tin,7480101,"A00,A01,D01",21.5,21.8,22,Nam,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://fpt.edu.vn,,Yes
127,Đại học FPT Đà Nẵng,Công nghệ thông tin,7480101,"A00,A01,D01",21,21.3,21.5,Miền Trung,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://fpt.edu.vn,,Yes
128,Đại học HUTECH,Công nghệ thông tin,7480101,"A00,A01,D01",21,21.3,21.5,Nam,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://hutech.edu.vn,,Yes
129,Đại học Văn Lang,Công nghệ thông tin,7480101,"A00,A01,D01",20.5,20.8,21,Nam,Công nghệ thông tin - Tin học,Đại học,Tư thục,https://vanlanguni.edu.vn,,Yes
130,Đại học Kinh tế Quốc dân,Quản trị kinh doanh,7340101,"A00,A01,D01",27,27.3,27.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://neu.edu.vn,,Yes
131,Đại học Kinh tế Quốc dân,Marketing,7340115,"A01,D01",26.8,27.1,27.3,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://neu.edu.vn,,Yes
132,Đại học Kinh tế Quốc dân,Kinh doanh quốc tế,7340120,"A01,D01",26.5,26.8,27,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://neu.edu.vn,,Yes
133,Đại học Kinh tế Quốc dân,Thương mại điện tử,7340122,"A01,D01",26.3,26.6,26.8,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://neu.edu.vn,,Yes
